,Mois,TB
0,2008-01-01,38
1,2008-02-01,60
2,2008-03-01,52
3,2008-04-01,66
4,2008-05-01,61
5,2008-06-01,50
6,2008-07-01,56
7,2008-08-01,54
8,2008-09-01,44
9,2008-10-01,53
10,2008-11-01,43
11,2008-12-01,48
12,2009-01-01,34
13,2009-02-01,52
14,2009-03-01,75
15,2009-04-01,65
16,2009-05-01,72
17,2009-06-01,71
18,2009-07-01,65
19,2009-08-01,66
20,2009-09-01,64
21,2009-10-01,45
22,2009-11-01,39
23,2009-12-01,46
24,2010-01-01,47
25,2010-02-01,75
26,2010-03-01,70
27,2010-04-01,92
28,2010-05-01,81
29,2010-06-01,86
30,2010-07-01,69
31,2010-08-01,84
32,2010-09-01,67
33,2010-10-01,64
34,2010-11-01,71
35,2010-12-01,64
36,2011-01-01,58
37,2011-02-01,61
38,2011-03-01,73
39,2011-04-01,96
40,2011-05-01,102
41,2011-06-01,79
42,2011-07-01,81
43,2011-08-01,75
44,2011-09-01,59
45,2011-10-01,82
46,2011-11-01,66
47,2011-12-01,52
48,2012-01-01,68
49,2012-02-01,52
50,2012-03-01,65
51,2012-04-01,82
52,2012-05-01,72
53,2012-06-01,62
54,2012-07-01,70
55,2012-08-01,62
56,2012-09-01,63
57,2012-10-01,83
58,2012-11-01,51
59,2012-12-01,59
60,2013-01-01,72
61,2013-02-01,83
62,2013-03-01,65
63,2013-04-01,71
64,2013-05-01,63
65,2013-06-01,68
66,2013-07-01,90
67,2013-08-01,42
68,2013-09-01,75
69,2013-10-01,53
70,2013-11-01,67
71,2013-12-01,41
72,2014-01-01,48
73,2014-02-01,51
74,2014-03-01,67
75,2014-04-01,50
76,2014-05-01,60
77,2014-06-01,55
78,2014-07-01,64
79,2014-08-01,61
80,2014-09-01,73
81,2014-10-01,73
82,2014-11-01,62
83,2014-12-01,71
84,2015-01-01,83
85,2015-02-01,76
86,2015-03-01,84
87,2015-04-01,82
88,2015-05-01,73
89,2015-06-01,80
90,2015-07-01,69
91,2015-08-01,85
92,2015-09-01,66
93,2015-10-01,82
94,2015-11-01,74
95,2015-12-01,70
96,2016-01-01,78
97,2016-02-01,85
98,2016-03-01,77
99,2016-04-01,70
100,2016-05-01,75
101,2016-06-01,78
102,2016-07-01,41
103,2016-08-01,71
104,2016-09-01,51
105,2016-10-01,78
106,2016-11-01,66
107,2016-12-01,52
108,2017-01-01,79
109,2017-02-01,62
110,2017-03-01,54
111,2017-04-01,61
112,2017-05-01,64
113,2017-06-01,57
114,2017-07-01,54
115,2017-08-01,57
116,2017-09-01,52
117,2017-10-01,63
118,2017-11-01,69
119,2017-12-01,58
120,2018-01-01,62
121,2018-02-01,54
122,2018-03-01,67
123,2018-04-01,62
124,2018-05-01,57
125,2018-06-01,58
126,2018-07-01,64
127,2018-08-01,55
128,2018-09-01,66
129,2018-10-01,69
130,2018-11-01,68
131,2018-12-01,55
132,2019-01-01,63
133,2019-02-01,61
134,2019-03-01,67
135,2019-04-01,62
136,2019-05-01,63
137,2019-06-01,57
138,2019-07-01,54
139,2019-08-01,57
140,2019-09-01,56
141,2019-10-01,58
142,2019-11-01,58
143,2019-12-01,55
144,2020-01-01,57
145,2020-02-01,51
146,2020-03-01,56
147,2020-04-01,58
148,2020-05-01,54
149,2020-06-01,57
150,2020-07-01,58
151,2020-08-01,58
152,2020-09-01,60
153,2020-10-01,51
154,2020-11-01,53
155,2020-12-01,57
